ASN,domains
49864,3271
198614,3267
43317,3266
23511,3266
18881,3259
63835,3258
11172,3257
60131,3248
1273,3248
14265,3244
8311,3240
54527,3239
43989,3239
62319,3237
42964,3236
24766,3233
13009,3232
5378,3224
62821,3221
201955,3221
212598,3218
9136,3213
215859,3207
56876,3202
198249,3199
43142,3195
34324,3192
41176,3191
210756,3188
49435,3183
205848,3180
212913,3177
31469,3176
37053,3170
50053,3167
12519,3151
269070,3147
22439,3146
138398,3141
202090,3140
21385,3136
214640,3126
140979,3123
13284,3118
42695,3116
8987,3116
55154,3110
56566,3110
42525,3110
2852,3104
2711,3095
60610,3093
51433,3084
136023,3082
139057,3067
6718,3057
15497,3056
151487,3051
59507,3044
64458,3040
